index,CO_ITEM,SG_AREA,TP_LINGUA,IN_ITEM_ABAN,model,is_human,model_probs,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,answer,correct_prob
0,140567,LC,spanish,0.0,GPT4,False,"[9.99700057e-01 9.99700145e-05 9.99700145e-05 9.99700145e-05
 3.32553596e-08]",1.95054,-0.11616,0.18874,B,9.997001447087808e-05
1,140767,LC,english,0.0,GPT4,False,"[1.85501901e-07 9.99799572e-01 9.99800083e-05 2.82856621e-07
 9.99800083e-05]",4.34313,0.36871,0.44865,B,0.9997995716248057
2,140731,LC,english,0.0,GPT4,False,"[9.98706549e-09 1.07985925e-08 8.40995232e-09 9.99899981e-01
 9.99900010e-05]",2.88489,0.49591,0.18224,D,0.9998999808033897
3,140527,LC,spanish,0.0,GPT4,False,"[9.99699956e-01 1.33598669e-07 9.99700367e-05 9.99700367e-05
 9.99700367e-05]",1.12895,-0.11509,0.20583,A,0.9996999562911968
4,118252,LC,spanish,0.0,GPT4,False,"[7.08189002e-09 9.99900010e-05 1.60506752e-09 9.99899997e-01
 4.43173353e-09]",1.93731,0.91995,0.14292,A,7.0818900192959935e-09
5,140626,LC,english,0.0,GPT4,False,"[1.11402196e-08 9.99800054e-05 9.99800054e-05 4.35600637e-06
 9.99795673e-01]",2.55762,0.57348,0.15419,B,9.998000540717428e-05
6,76318,LC,spanish,0.0,GPT4,False,"[3.45960159e-04 5.91868224e-05 9.99563234e-01 3.07057190e-05
 9.12856963e-07]",0.56882,1.97791,0.12768,A,0.00034596015949046806
7,111835,LC,english,0.0,GPT4,False,"[1.25529378e-07 9.99900010e-05 9.99899328e-01 5.28498420e-07
 2.84505023e-08]",2.64617,0.79049,0.1896,B,9.999000099990004e-05
8,118230,LC,spanish,0.0,GPT4,False,"[2.35839382e-08 9.99800060e-05 9.99800060e-05 2.41940274e-07
 9.99799774e-01]",1.79286,-0.35288,0.09108,E,0.9997997744636921
9,111918,LC,english,0.0,GPT4,False,"[1.92505755e-08 5.20304887e-07 9.99900021e-05 9.99899458e-01
 1.24291057e-08]",3.71022,0.34919,0.20287,A,1.925057553146858e-08
10,141203,LC,portuguese,0.0,GPT4,False,"[3.47139312e-06 8.31491349e-03 9.91580838e-01 7.86770244e-07
 9.99900304e-05]",1.71461,-0.15137,0.18763,A,3.471393116715402e-06
11,120124,LC,portuguese,0.0,GPT4,False,"[6.61427960e-08 9.99800042e-05 9.99799972e-01 1.76264581e-09
 9.99800042e-05]",2.93292,0.03337,0.17638,A,6.61427960070347e-08
12,45201,LC,portuguese,0.0,GPT4,False,"[2.96950864e-03 1.90634235e-02 9.77767075e-01 9.99964391e-05
 9.99964391e-05]",2.64453,1.04534,0.13269,E,9.999643908004599e-05
13,119767,LC,portuguese,0.0,GPT4,False,"[2.88985320e-08 6.86400302e-09 9.99900010e-05 9.99899970e-01
 3.97258018e-09]",2.11177,-0.55865,0.18565,C,9.999000099992219e-05
14,140898,LC,portuguese,0.0,GPT4,False,"[2.31849319e-01 4.09854675e-05 6.81442997e-01 3.09374540e-05
 8.66357609e-02]",1.69478,2.32558,0.16355,B,4.0985467521763235e-05
15,126560,CN,portuguese,0.0,GPT4,False,"[2.67294491e-08 9.83321482e-09 9.99999888e-01 7.04227186e-08
 5.18174010e-09]",2.41581,0.78824,0.19317,C,0.9999998878328774
16,141726,CN,portuguese,0.0,GPT4,False,"[9.99700068e-01 2.18094020e-08 9.99700371e-05 9.99700371e-05
 9.99700371e-05]",1.68577,1.10708,0.12014,C,9.997003714255797e-05
17,87998,CN,portuguese,0.0,GPT4,False,"[1.51432641e-07 1.11424921e-08 1.28249298e-08 1.79830711e-07
 9.99999645e-01]",2.14355,1.77912,0.08867,D,1.7983071096982485e-07
18,141547,CN,portuguese,0.0,GPT4,False,"[2.18115753e-08 9.99800004e-01 9.99800061e-05 1.40826115e-08
 9.99800061e-05]",1.90673,1.4644,0.34041,B,0.9998000040935876
19,98106,CN,portuguese,0.0,GPT4,False,"[1.25654192e-05 6.31828958e-06 1.46904634e-05 3.27295503e-03
 9.96693471e-01]",2.46518,1.46748,0.06515,A,1.256541922965473e-05
21,96244,CN,portuguese,0.0,GPT4,False,"[1.21679541e-07 3.27496043e-08 8.15202105e-09 1.09072836e-07
 9.99999728e-01]",5.67249,1.52791,0.14273,C,8.152021050026013e-09
22,37769,CN,portuguese,0.0,GPT4,False,"[2.10758207e-03 9.94054072e-01 1.81303538e-04 2.79209261e-03
 8.64949940e-04]",1.78429,2.50062,0.27071,C,0.00018130353803672271
23,78377,CN,portuguese,0.0,GPT4,False,[0.72897885 0.25192836 0.01536773 0.00164525 0.0020798 ],0.60239,2.40137,0.12017,C,0.015367733217247251
24,97761,CN,portuguese,0.0,GPT4,False,"[3.43178404e-08 2.71476462e-08 9.99899932e-01 1.59592779e-08
 9.99907420e-05]",0.8924,1.01697,0.29789,A,3.431784042678702e-08
25,111961,LC,portuguese,0.0,GPT4,False,"[4.66444877e-07 1.46773392e-07 9.99999223e-01 1.44497882e-07
 1.95556814e-08]",1.6838,0.70642,0.29621,B,1.4677339245654235e-07
26,78716,CN,portuguese,0.0,GPT4,False,"[1.00040399e-03 5.39355529e-08 9.98899507e-01 4.47141439e-08
 9.99900042e-05]",2.02681,0.56741,0.2452,B,5.3935552942344877e-08
29,117854,CN,portuguese,0.0,GPT4,False,"[3.35349344e-04 7.93182303e-07 9.99662460e-01 1.13618119e-06
 2.61563762e-07]",3.55169,1.49398,0.20257,D,1.1361811913326477e-06
30,141545,CN,portuguese,0.0,GPT4,False,"[9.27056563e-05 9.60514804e-03 1.80475385e-03 9.79751806e-01
 8.74558681e-03]",2.33494,1.44802,0.20932,C,0.001804753845932146
31,96189,CN,portuguese,0.0,GPT4,False,[0.83126424 0.09928035 0.03325475 0.02589883 0.01030184],2.54149,1.20769,0.21012,A,0.8312642395712743
32,141712,CN,portuguese,0.0,GPT4,False,"[3.02823736e-08 9.99800075e-05 9.99800075e-05 9.99800003e-01
 6.75691088e-09]",1.87507,0.91052,0.15109,A,3.028237362033916e-08
33,43073,CN,portuguese,0.0,GPT4,False,"[9.99750691e-01 9.31313479e-05 9.99900678e-05 4.98496183e-05
 6.33766776e-06]",1.48588,0.96735,0.24215,C,9.999006779181415e-05
34,85860,CN,portuguese,0.0,GPT4,False,"[7.41500666e-05 6.20850658e-04 2.40367879e-02 2.00715032e-06
 9.75266204e-01]",5.31621,2.04288,0.17088,D,2.0071503235704495e-06
35,44969,CN,portuguese,0.0,GPT4,False,[0.09097981 0.59326289 0.08283806 0.23232508 0.00059416],3.07166,1.89127,0.25272,D,0.2323250849972441
36,141427,LC,portuguese,0.0,GPT4,False,"[9.74296696e-01 6.74472921e-05 2.51652948e-02 4.53772710e-04
 1.67889584e-05]",2.40522,2.28139,0.1137,E,1.678895843769566e-05
37,97727,CN,portuguese,0.0,GPT4,False,"[9.62372101e-08 9.99800196e-05 9.99800196e-05 9.77527256e-08
 9.99799846e-01]",2.35097,1.00991,0.30639,D,9.775272560634726e-08
38,28034,CN,portuguese,0.0,GPT4,False,"[4.95309873e-02 6.13836594e-04 3.23469316e-04 2.32986208e-04
 9.49298721e-01]",1.51222,1.41874,0.14908,A,0.04953098731707964
39,97915,CN,portuguese,0.0,GPT4,False,"[8.53180763e-03 1.86351830e-02 7.56102050e-01 2.16626864e-01
 1.04095269e-04]",2.39896,2.76588,0.1897,C,0.7561020498812453
40,85445,CN,portuguese,0.0,GPT4,False,[0.78761653 0.01159137 0.06566962 0.02165554 0.11346693],4.44898,1.4048,0.15587,D,0.021655542865536757
41,41054,CN,portuguese,0.0,GPT4,False,"[9.99753268e-01 6.67987284e-07 9.99801043e-05 4.61034995e-05
 9.99801043e-05]",1.2012,0.97602,0.22536,B,6.679872835612553e-07
42,90130,CN,portuguese,0.0,GPT4,False,"[2.29677904e-02 4.61320449e-01 8.71758995e-03 5.06661394e-01
 3.32777034e-04]",1.73494,2.08841,0.27619,E,0.000332777033665984
43,31381,CN,portuguese,0.0,GPT4,False,"[2.61736548e-03 9.42549518e-03 7.03394585e-01 2.84197089e-01
 3.65466109e-04]",1.75013,1.52509,0.16155,A,0.002617365483501753
44,141731,CN,portuguese,0.0,GPT4,False,"[2.42348554e-05 9.99900099e-05 1.44105718e-07 2.59065651e-03
 9.97284975e-01]",1.52512,3.19204,0.11283,B,9.999000987710804e-05
45,81969,CN,portuguese,0.0,GPT4,False,"[9.99919389e-01 7.60244252e-05 1.76020393e-06 1.17254860e-06
 1.65355857e-06]",2.00512,1.35453,0.16882,D,1.172548602961956e-06
46,141597,CN,portuguese,0.0,GPT4,False,"[1.64658883e-08 9.99899848e-01 7.26509061e-08 7.26509061e-08
 9.99900010e-05]",2.13571,1.60964,0.14865,C,7.265090613771491e-08
47,141464,LC,portuguese,0.0,GPT4,False,"[9.88206693e-01 1.16860047e-02 1.63418992e-06 1.04313128e-04
 1.35479103e-06]",0.94658,1.25172,0.21415,A,0.98820669322354
48,141725,CN,portuguese,0.0,GPT4,False,"[3.77539515e-01 2.50817630e-06 1.00339576e-07 4.35855687e-07
 6.22457441e-01]",1.82114,1.93167,0.06674,D,4.358556872185643e-07
49,111558,CN,portuguese,0.0,GPT4,False,"[2.93846573e-03 4.36763939e-04 7.89687672e-01 1.99664326e-01
 7.27277253e-03]",3.29206,1.65709,0.14008,B,0.0004367639392623879
